0101010101010101011010101010101010101001010101101010 0101011010101001010101010101010101101010101010101010 separated by 163285
101110100001010101010101010110101010101010101010010101011010100001011101 101110100001010110101010010101010101010101011010101010101010100001011101 separated by 171050
101110101000010101010101010110101010101010101010010101011010000101011101 101110101000010110101010010101010101010101011010101010101010000101011101 separated by 171070
101111000001010101010101010110101010101010101010010101011010100000111101 101111000001010110101010010101010101010101011010101010101010100000111101 separated by 171045
110000011101010101010101010110101010101010101010010101011010101110000011 110000011101010110101010010101010101010101011010101010101010101110000011 separated by 171045
110000101011010101010101010110101010101010101010010101011010110101000011 110000101011010110101010010101010101010101011010101010101010110101000011 separated by 171099
110000101101010101010101010110101010101010101010010101011010101101000011 110000101101010110101010010101010101010101011010101010101010101101000011 separated by 171050
110000110101010101010101010110101010101010101010010101011010101011000011 110000110101010110101010010101010101010101011010101010101010101011000011 separated by 171045
110000111001010101010101010110101010101010101010010101011010100111000011 110000111001010110101010010101010101010101011010101010101010100111000011 separated by 171021
110001001101010101010101010110101010101010101010010101011010101100100011 110001001101010110101010010101010101010101011010101010101010101100100011 separated by 163295
110001010011010101010101010110101010101010101010010101011010110010100011 110001010011010110101010010101010101010101011010101010101010110010100011 separated by 161575
110001010101010101010101010110101010101010101010010101011010101010100011 110001010101010110101010010101010101010101011010101010101010101010100011 separated by 163295
110001010110010101010101010110101010101010101010010101011010011010100011 110001010110010110101010010101010101010101011010101010101010011010100011 separated by 160530
110001011001010101010101010110101010101010101010010101011010100110100011 110001011001010110101010010101010101010101011010101010101010100110100011 separated by 163300
11000101100110010110011001011010011001101001100110011001100110011001100110100011 11000101100110011001100110011001100110010110011001011010011001101001100110100011 separated by 165305
110001100101010101010101010110101010101010101010010101011010101001100011 110001100101010110101010010101010101010101011010101010101010101001100011 separated by 298410
1100011001100110011001100110011001100110100110011001100110010110011001100011 1100011001100110100110011001100110010110011001100110011001100110011001100011 separated by 298394
110001101001010101010101010110101010101010101010010101011010100101100011 110001101001010110101010010101010101010101011010101010101010100101100011 separated by 163505
110001101010010101010101010110101010101010101010010101011010010101100011 110001101010010110101010010101010101010101011010101010101010010101100011 separated by 161775
11000110101001010101010101010101010110101010101010101010101001011010010101100011 11000110101001011010010101010101010101010101101010101010101010101010010101100011 separated by 161775
110001110001010101010101010110101010101010101010010101011010100011100011 110001110001010110101010010101010101010101011010101010101010100011100011 separated by 163306
110010001101010101010101010110101010101010101010010101011010101100010011 110010001101010110101010010101010101010101011010101010101010101100010011 separated by 163295
110010010101010101010101010110101010101010101010010101011010101010010011 110010010101010110101010010101010101010101011010101010101010101010010011 separated by 163285
110010011001010101010101010110101010101010101010010101011010100110010011 110010011001010110101010010101010101010101011010101010101010100110010011 separated by 163285
11001001100110010110011001011010011001101001100110011001100110011001100110010011 11001001100110011001100110011001100110010110011001011010011001101001100110010011 separated by 298343
110010100011010101010101010110101010101010101010010101011010110001010011 110010100011010110101010010101010101010101011010101010101010110001010011 separated by 161775
110010100101010101010101010110101010101010101010010101011010101001010011 110010100101010110101010010101010101010101011010101010101010101001010011 separated by 298410
1100101001100110011001100110011001100110100110011001100110010110011001010011 1100101001100110100110011001100110010110011001100110011001100110011001010011 separated by 162555
